date,eth_price,eth_amount,lido_amount
2021-10-15 00:00,3737.55,24832,0
2021-10-16 00:00,3869.18,4672,0
2021-10-17 00:00,3829.21,3104,0
2021-10-18 00:00,3836.35,4160,0
2021-10-19 00:00,3744.43,2944,0
2021-10-20 00:00,3864.76,4480,0
2021-10-21 00:00,4111.12,5600,0
2021-10-22 00:00,4079.49,4960,0
2021-10-23 00:00,3949.27,4448,0
2021-10-24 00:00,4131.36,2912,0
2021-10-25 00:00,4082.16,6656,0
2021-10-26 00:00,4247.69,5344,0
2021-10-27 00:00,4295.69,6688,4800
2021-10-28 00:00,3935.71,3936,0
2021-10-29 00:00,4350.95,20704,4800
2021-10-30 00:00,4473.26,34624,33600
2021-10-31 00:00,4412.29,2240,0
2021-11-01 00:00,4311.39,8416,0
2021-11-02 00:00,4339.64,32672,0
2021-11-03 00:00,4586.78,7936,0
2021-11-04 00:00,4600,6272,0
2021-11-05 00:00,4535.22,40864,24000
2021-11-06 00:00,4481.11,4576,0
2021-11-07 00:00,4522.95,8512,0
2021-11-08 00:00,4640.81,7968,0
2021-11-09 00:00,4801.81,4064,0
2021-11-10 00:00,4739.85,7456,0
2021-11-11 00:00,4624.96,9360,0
2021-11-12 00:00,4721.93,9600,0
2021-11-13 00:00,4673.96,3696,0
2021-11-14 00:00,4652.64,4736,0
2021-11-15 00:00,4629.62,12704,0
2021-11-16 00:00,4591.22,43872,38400
2021-11-17 00:00,4228.9,8160,0
2021-11-18 00:00,4279.6,9440,5984
2021-11-19 00:00,4000.34,9376,2624
2021-11-20 00:00,4311.43,6080,2176
2021-11-21 00:00,4378.07,6912,2112
2021-11-22 00:00,4252.93,14096,2304
2021-11-23 00:00,4109.46,21104,3136
2021-11-24 00:00,4343.38,10864,4096
2021-11-25 00:00,4333.16,9712,1024
2021-11-26 00:00,4531.79,12544,1024
2021-11-27 00:00,4017.5,7344,0
2021-11-28 00:00,4146.31,12000,4064
2021-11-29 00:00,4298.87,5216,1024
2021-11-30 00:00,4439.21,14448,4800
2021-12-01 00:00,4626.91,27280,3296
2021-12-02 00:00,4587.07,13696,1408
2021-12-03 00:00,4521.13,22928,10496
2021-12-04 00:00,4246.41,7920,1216
2021-12-05 00:00,4100.32,14144,3968
2021-12-06 00:00,4193.27,9104,1024
2021-12-07 00:00,4345.81,22464,14304
2021-12-08 00:00,4301.72,10768,3104
2021-12-09 00:00,4429.8,9408,1024
2021-12-10 00:00,4137.89,8160,2048
2021-12-11 00:00,3931.51,12592,7680
2021-12-12 00:00,4081.04,8912,1568
2021-12-13 00:00,4134.5,9776,1184
2021-12-14 00:00,3790.04,22208,2208
2021-12-15 00:00,3865.86,16800,2048
2021-12-16 00:00,4021.67,11696,2848
2021-12-17 00:00,3966.83,17488,2144
2021-12-18 00:00,3889.66,12448,1024
2021-12-19 00:00,3968.39,22144,14560
2021-12-20 00:00,3927.92,15456,0
2021-12-21 00:00,3928.54,11328,1728
2021-12-22 00:00,4037.92,9552,1344
2021-12-23 00:00,3979.03,5232,2496
2021-12-24 00:00,4110.71,14144,11616
2021-12-25 00:00,4037.02,5856,3296
2021-12-26 00:00,4108.23,5168,1376
2021-12-27 00:00,4081.16,9968,1344
2021-12-28 00:00,4045.68,5360,1632
2021-12-29 00:00,3795.1,7008,2048
2021-12-30 00:00,3643.46,11328,1024
2021-12-31 00:00,3714.29,7200,2048
2022-01-01 00:00,3682.12,13776,7712
2022-01-02 00:00,3772.42,14128,2368
2022-01-03 00:00,3832.1,20224,3360
2022-01-04 00:00,3765.39,28384,16832
2022-01-05 00:00,3795.96,15568,4256
2022-01-06 00:00,3556.27,15952,1088
2022-01-07 00:00,3416.95,16000,5984
2022-01-08 00:00,3190.27,15616,2208
2022-01-09 00:00,3093.62,5696,1056
2022-01-10 00:00,3158.47,12112,0
2022-01-11 00:00,3079.92,9200,5824
2022-01-12 00:00,3239.84,6768,1824
2022-01-13 00:00,3378.67,8992,4160
2022-01-14 00:00,3255.25,12736,672
2022-01-15 00:00,3313.67,11296,2336
2022-01-16 00:00,3331.88,7264,1472
2022-01-17 00:00,3360.03,7888,2048
2022-01-18 00:00,3208.1,7200,2176
2022-01-19 00:00,3167.39,30160,1312
2022-01-20 00:00,3103.27,3856,1216
2022-01-21 00:00,3008.19,8816,3968
2022-01-22 00:00,2575,23488,19200
2022-01-23 00:00,2402.86,48368,38880
2022-01-24 00:00,2545.76,10512,5152
2022-01-25 00:00,2438.29,19120,1728
2022-01-26 00:00,2446.53,6784,1440
2022-01-27 00:00,2467.6,15328,7808
2022-01-28 00:00,2423.83,10288,4064
2022-01-29 00:00,2545.29,13888,4544
2022-01-30 00:00,2600.91,5440,3040
2022-01-31 00:00,2610.01,7520,1312
2022-02-01 00:00,2692.38,9616,1856
2022-02-02 00:00,2799.66,5712,864
2022-02-03 00:00,2686.27,8096,2784
2022-02-04 00:00,2671.11,18832,11232
2022-02-05 00:00,2989.41,10144,7104
2022-02-06 00:00,3017.78,6784,3264
2022-02-07 00:00,3065.76,10912,4416
2022-02-08 00:00,3148.47,16928,10816
2022-02-09 00:00,3131.53,7536,768
2022-02-10 00:00,3251.04,18704,5344
2022-02-11 00:00,3075.52,17216,11744
2022-02-12 00:00,2934.16,5056,1504
2022-02-13 00:00,2921,21360,8352
2022-02-14 00:00,2891.46,6880,608
2022-02-15 00:00,2941.8,22512,5216
2022-02-16 00:00,3182.89,13680,5568
2022-02-17 00:00,3132.38,6544,3968
2022-02-18 00:00,2886.8,13696,11232
2022-02-19 00:00,2789.85,6656,4160
2022-02-20 00:00,2765.7,6880,2368
2022-02-21 00:00,2632.23,3216,768
2022-02-22 00:00,2579.59,16080,11936
2022-02-23 00:00,2644.38,53152,50944
2022-02-24 00:00,2597.46,11312,4384
2022-02-25 00:00,2593.47,14048,1824
2022-02-26 00:00,2768.7,14768,7328
2022-02-27 00:00,2782.62,15568,4800
2022-02-28 00:00,2627.13,23600,13344
2022-03-01 00:00,2927.83,41312,29728
2022-03-02 00:00,2972.49,24576,7040
2022-03-03 00:00,2954.74,43200,24928
2022-03-04 00:00,2838.15,30272,13280
2022-03-05 00:00,2623.51,23952,17888
2022-03-06 00:00,2669.02,13184,8992
2022-03-07 00:00,2553.98,58112,24736
2022-03-08 00:00,2495.44,43280,37056
2022-03-09 00:00,2575.15,55792,38336
2022-03-10 00:00,2731.31,37616,28864
2022-03-11 00:00,2609.19,34896,10880
2022-03-12 00:00,2568.72,22912,16096
2022-03-13 00:00,2582.03,9856,4480
2022-03-14 00:00,2530.37,39312,36352
